sc_point_gid,latitude,longitude,timezone,elevation_m,resource,area_developable_sq_km,capacity_ac_mw,capacity_density_included_area_mw_per_km2,capacity_density_convex_hull_mw_per_km2,dist_spur_km
28256,43.795704,-104.90959,-7,1374.6586,7.539613,8.852689,144,20.647825,1.7958624,9.588519472
28257,43.804775,-104.757965,-7,1325.7567,7.2150292,22.23862,198,10.327184,1.887019,9.488376618
28258,43.813686,-104.606285,-7,1301.1786,7.0485,10.2303,156,17.397705,1.7998892,25.41372075
28259,43.822445,-104.45456,-7,1239.5161,6.651413,3.26997,78,32.20612,1.4454141,19.24035713
28260,43.831047,-104.3028,-7,1217.8572,6.315435,11.05704,90,9.480471,4.7888494,1.837279221
28261,43.839493,-104.15099,-7,1362.7667,6.2383013,16.6032,210,13.18044,1.9937557,0.254558441
28262,43.847786,-103.999146,-7,1677.625,7.378901,24.051601,222,9.640312,2.7964158,16.98021428
28263,43.855923,-103.84725,-7,1934.5,8.551252,28.229403,228,8.384912,2.515674,19.61689609
28264,43.863903,-103.69533,-7,1884.2162,8.724987,36.520203,252,7.0739226,2.7310784,20.43594155
28265,43.871727,-103.54336,-7,1700.2354,7.3097553,7.6671,114,15.760441,3.8968198,33.57813634
28266,43.879395,-103.39134,-7,1305.619,6.9584208,11.7135,156,14.078406,3.0836706,23.34262336
28267,43.88691,-103.2393,-7,1213,6.70703,0.1683,0,0,0,16.88866233
28269,43.90147,-102.9351,-7,905.8333,7.0874395,2.2104,48,25.216705,3.494705,22.81276621
28270,43.908512,-102.78294,-7,852.8571,6.884792,20.189701,192,10.465211,2.2329683,21.24484415
28271,43.915405,-102.63075,-7,800.35895,6.98914,54.791096,234,4.6104198,2.3369672,25.64909089
28272,43.92214,-102.478516,-7,817.13513,7.2825227,48.163498,234,5.155968,2.3616745,22.40049999
28273,43.928715,-102.32626,-7,866.34485,7.8982368,25.5717,198,8.348513,2.718867,20.19947402
28274,43.935135,-102.173965,-7,828.3226,7.858652,30.850939,198,6.8567867,2.323333,19.10933116
28275,43.9414,-102.02165,-7,781.4211,7.629835,34.7526,222,6.943858,2.1438115,24.47004543
28276,43.947506,-101.86929,-7,744.7692,7.478967,40.178707,234,6.4904265,2.5676126,16.24367532
28277,43.95346,-101.7169,-7,743.55554,7.5521927,30.044699,204,7.3943586,2.5281858,1.424558441
28278,43.959255,-101.5645,-7,716.1667,7.5586896,42.525,216,5.6894956,2.2234733,18.76696752
28279,43.964893,-101.41205,-7,701.4722,7.6054416,49.059002,246,5.5531855,2.2803545,14.1363961
28280,43.970375,-101.25958,-7,681.25,7.66259,65.701805,234,3.951428,2.3319082,13.4163961
28281,43.975704,-101.107086,-7,670.89746,7.7388444,30.4173,222,7.9603276,2.141933,13.48830519
28282,43.980873,-100.95456,-6,655.95123,7.8246665,28.679401,234,8.988453,2.2846417,18.55453244
28283,43.985886,-100.802,-6,644.46155,7.7677736,23.897701,210,9.735609,2.3020215,23.339974
28284,43.99074,-100.64943,-6,655.1818,8.049836,23.0023,228,10.554236,2.2681327,28.90078569
28285,43.99544,-100.496826,-6,657,8.239374,26.836203,228,9.094717,2.3478975,33.8732662
28286,43.999985,-100.34421,-6,610.6316,8.0343485,29.173498,216,7.896555,2.132649,41.30598698
28287,44.00437,-100.19156,-6,575.5641,7.8727317,30.231901,228,8.023988,2.2409966,47.01281164
28288,44.0086,-100.038895,-6,562.8333,8.02513,29.232002,234,8.698853,2.4157174,48.57925974
28289,44.012672,-99.8862,-6,541.7941,8.017847,30.432602,228,8.24975,2.1372461,37.05925974
28290,44.016586,-99.7335,-6,506.45,7.5892534,54.5427,252,5.2419734,2.3000588,25.46470129
28291,44.020348,-99.58077,-6,539.2,7.805116,30.673635,204,7.517966,2.5185125,13.94470129
28292,44.02395,-99.42802,-6,488.64,7.493018,26.0532,186,8.003821,2.0252898,5.230142853
28293,44.027393,-99.27526,-6,466.6389,7.322493,40.0122,204,5.6191845,2.467559,9.14646753
28294,44.03068,-99.122475,-6,488.02777,7.3923864,34.991096,234,7.2841372,2.3130744,6.229188309
28295,44.033813,-98.96967,-6,501.33334,7.601853,14.5035,162,12.330456,1.8310832,2.219116882
28296,44.03679,-98.816864,-6,535.2778,7.899345,2.6054192,114,48.198883,1.8145161,2.045512986
28297,44.039604,-98.66404,-6,548.4737,8.475586,1.9089,60,33.51768,3.3055933,6.509331163
28298,44.042263,-98.51119,-6,458.3,8.034059,1.1529,54,52.49344,1.9032363,22.22004543
28299,44.044765,-98.35834,-6,400.8889,7.6427894,0.42389998,54,180.18018,1.4581333,1.964558441
28300,44.04711,-98.205475,-6,388.7,7.5754437,0.33479998,30,176.36684,1.3801765,0.27
28301,44.0493,-98.0526,-6,387.17392,7.5549383,2.4804,60,31.655588,2.0181108,26.00314934
28302,44.05133,-97.899704,-6,399.125,7.770473,1.9592999,60,43.830814,2.0993078,24.98007143
28303,44.053207,-97.74681,-6,420.0909,7.83982,2.184138,60,38.986355,2.4356499,28.38837662
28304,44.054924,-97.593895,-6,445.17648,7.879351,1.9818,60,36.85277,3.0222585,30.61124025
28305,44.056484,-97.44098,-6,514.25,8.276895,0.3951,0,0,0,32.73925974
28306,44.057884,-97.288055,-6,537.28204,8.386365,15.7941,240,16.673962,2.5063043,36.64873375
28307,44.05913,-97.135124,-6,528.56,8.20436,8.4168,174,22.283695,2.3720975,36.72083112
28308,44.060223,-96.98219,-6,511.66666,8.039043,8.531099,120,15.594542,2.8426995,26.44190909
28309,44.061153,-96.82925,-6,515.1,8.113585,2.5586996,60,25.809782,2.8015673,14.84735065
28310,44.061924,-96.6763,-6,497.57144,8.102383,6.3864,90,15.605494,3.5956957,2.88
28311,44.062542,-96.52335,-6,490.84,7.8127356,11.715543,168,15.832626,3.1205673,1.08
