sc_point_gid,latitude,longitude,timezone,area_developable_sq_km,capacity_ac_mw,dist_spur_km
48756,38.35012038,-106.9848694,-7,0.612540005,1.647580767,11.85925974
48757,38.36136392,-106.8460287,-7,0.293220006,0.778429059,15.76763635
48758,38.37246486,-106.7071414,-7,2.451986774,6.306398974,13.09057141
48759,38.38342313,-106.5682078,-7,8.388117554,21.0247167,7.104701295
48760,38.39423868,-106.4292286,-7,0.965024973,2.360845075,3.252792206
48761,38.40491143,-106.2902044,-7,0.081683997,0.199068265,9.492123369
48762,38.41544134,-106.1511358,-7,0.573102006,1.365461947,5.071980515
49062,37.03219466,-117.060685,-8,11.06730033,26.36277609,34.86262336
49130,38.18254407,-107.7995676,-7,1.249037897,2.962672898,6.481097398
49131,38.19462594,-107.6612185,-7,4.752792169,11.40958667,6.406538957
49132,38.2065658,-107.5228195,-7,0.245484005,0.61295828,26.6496883
49134,38.23001916,-107.2458738,-7,0.566891977,1.492486358,2.495512986
49135,38.24153253,-107.1073283,-7,0.66994197,1.786944992,15.96042856
49137,38.26413235,-106.8300948,-7,0.760536063,1.996255939,27.61145453
49138,38.27521865,-106.691408,-7,1.760643073,4.596216001,24.64520128
49473,37.53992495,-112.8538974,-7,0.046331998,0.109865145,28.15255193
49510,38.08540334,-107.7822862,-7,1.019654984,2.431824129,15.07212337
49511,38.09746941,-107.6441356,-7,0.215819992,0.526621582,19.59770778
49513,38.12117593,-107.3676858,-7,0.019511999,0.050891394,15.31124025
49514,38.13281626,-107.2293877,-7,0.067932005,0.177255103,8.305584412
49515,38.14431453,-107.0910415,-7,0.0162,0.043211755,37.83527271
49519,38.18888586,-106.5371879,-7,2.227437213,5.557623408,33.97541556
49520,38.19967293,-106.39861,-7,0.333891002,0.817069182,29.24424674
49521,38.21031757,-106.2599875,-7,0.168012012,0.403976192,16.0221948
49793,36.15916375,-120.8292389,-8,2.158776068,5.105401969,36.91453244
49794,36.18453495,-120.6985079,-8,0.163367994,0.387445934,38.12820777
49853,37.44346896,-112.8295145,-7,0.071928001,0.170559849,25.84343505
49893,38.02397172,-107.3510492,-7,0.024947999,0.06506427,4.01646753
49899,38.09159307,-106.5217458,-7,2.204747919,5.512402809,46.21386361
49900,38.102366,-106.3833678,-7,9.063512402,21.93410696,32.76174024
49901,38.11299668,-106.2449453,-7,0.311066987,0.74410426,19.70049999
50170,35.98744599,-121.1853688,-8,1.827243004,4.380081539,37.11637011
50171,36.01318264,-121.0550947,-8,1.983105093,4.747174507,34.70336362
50172,36.03878759,-120.9247235,-8,4.579847974,10.87132446,35.8435779
50173,36.06426089,-120.7942546,-8,1.515023946,3.614235843,44.69665581
50174,36.08960196,-120.6636907,-8,1.07503201,2.55834563,40.68064284
50262,37.78970829,-108.8480754,-7,5.989905505,14.34643052,3.786396103
50263,37.80287243,-108.7107343,-7,0.218781002,0.525961796,2.982792206
50550,35.89260626,-121.1499825,-8,10.5121626,25.04036698,49.27651296
50551,35.91831257,-121.0198741,-8,16.43027454,39.87881545,47.10901946
50552,35.94388729,-120.8896689,-8,4.815225055,11.48896012,47.58679867
50553,35.96933048,-120.7593664,-8,0.771408016,1.835440059,43.06121425
50554,35.99464156,-120.6289694,-8,0.280979997,0.668486837,31.87562984
50590,36.81703797,-115.8742884,-8,0.062999999,0.151946757,24.83909089
50641,37.67935953,-108.9664695,-7,0.0324,0.076723858,11.22131168
50642,37.69264739,-108.8293775,-7,13.47221722,32.19373436,2.563675324
50643,37.70579457,-108.6922315,-7,2.515446002,5.960275939,4.587350647
50655,37.85256094,-107.0424654,-7,0.147599993,0.400319635,36.13011686
50656,37.86387275,-106.9046671,-7,3.553164075,9.637465703,44.00488958
50660,37.90770291,-106.3530164,-7,0.514539009,1.231884683,27.73343505
50930,35.79773842,-121.1146932,-8,1.153034926,2.736816766,53.5071558
50931,35.82341452,-120.98475,-8,6.738767908,16.19594638,44.74782464
50932,35.84895915,-120.8547105,-8,1.092770906,2.587397554,35.31481815
50967,36.65926572,-116.2458365,-8,0.13229999,0.315424097,6.074772721
50968,36.67999928,-116.1126047,-8,0.0162,0.038605997,0.853675324
50969,36.70059716,-115.979292,-8,0.799415964,1.968163352,7.229331163
50970,36.72105926,-115.8458992,-8,1.562652109,3.793668847,18.12417531
51029,37.68452548,-107.8509741,-7,0.048762004,0.116072304,2.284629868
51034,37.74383723,-107.1639217,-7,0.485495975,1.307207806,43.12298049
51035,37.75527581,-107.0263673,-7,2.78992793,7.55639449,54.56531814
51036,37.76657298,-106.8887663,-7,0.180746993,0.4897904,35.78820777
51037,37.77772867,-106.7511192,-7,0.061775999,0.165844738,26.24975972
51038,37.78874284,-106.6134266,-7,1.769004108,4.594698148,13.79668181
51039,37.7996154,-106.475689,-7,9.392958545,23.886383,11.87470129
51040,37.81034631,-106.3379069,-7,5.385609119,13.16585964,15.94763635
51049,37.90054017,-105.0959622,-7,0.098856004,0.235057046,25.64689609
51050,37.90985131,-104.957767,-7,0.722123973,1.718321477,4.389259736
51336,36.32663355,-117.6751483,-8,2.553659967,6.671965015,33.20909089
51337,36.3488257,-117.5430083,-8,0.012708,0.032137912,54.57061684
51338,36.37088348,-117.4107829,-8,0.032076,0.081118638,137.4594415
51342,36.4577688,-116.881038,-8,0.720287952,1.720053476,114.1944805
51347,36.56333929,-116.2169913,-8,0.0279,0.066941809,8.648590899
51348,36.58404751,-116.0839377,-8,0.068400002,0.166217912,5.903818177
51349,36.60462019,-115.9508037,-8,0.669204039,1.663673511,1.850071427
51350,36.62505722,-115.8175898,-8,0.117900006,0.300440119,8.591025971
51351,36.64535851,-115.6842964,-8,0.0162,0.040191033,8.10374675
51409,37.58731413,-107.8337465,-7,0.013284001,0.031949206,1.049116882
51415,37.65797336,-107.0103159,-7,0.024767999,0.067215949,54.19782464
51417,37.68039724,-106.7354615,-7,0.769463972,2.073349634,18.02403246
51418,37.69139717,-106.597966,-7,6.481755066,17.04291051,4.37646753
